,freq,nb_pers,nb_f,nb_h
0,"[ 0.00084619  0.00056936  0.00056667 ... -0.13611622 -0.13834985
 -0.14187728]",3,1,2
1,"[ 0.01026153  0.00897666  0.00878411 ... -0.00044267 -0.0007202
 -0.0008381 ]",4,3,1
2,"[-0.00247935 -0.00328599 -0.00351421 ... -0.00279147 -0.00263293
 -0.00264248]",2,1,1
3,"[-0.00072521 -0.00080584 -0.00077516 ...  0.02044093 -0.02864077
 -0.04799299]",3,1,2
4,[0.02312456 0.01375938 0.02779636 ... 0.06052934 0.05997853 0.05950702],3,2,1
5,"[ 4.1995128e-03  3.9703976e-03  2.9718331e-03 ...  6.3103667e-05
 -3.5622612e-05  5.9613362e-06]",3,2,1
6,"[ 0.00084619  0.00056936  0.00056667 ... -0.04680225 -0.06348617
 -0.06515531]",2,1,1
7,"[ 2.7469662e-04  3.2853131e-04  2.6881541e-04 ... -1.1380552e-04
 -1.1887503e-04 -4.5553345e-05]",3,1,2
8,"[ 1.8564275e-06  2.5209882e-05  2.2520888e-05 ... -1.8940470e-03
 -1.6640623e-03 -1.3661841e-03]",3,1,2
9,"[ 0.          0.          0.         ... -0.09278883 -0.12827958
 -0.16113374]",4,2,2
10,"[-2.8987144e-05 -3.7583872e-05 -1.5882651e-05 ...  4.7623016e-02
  3.7160240e-02  2.5346570e-02]",4,3,1
11,[0.00015125 0.0003791  0.00029106 ... 0.00999592 0.00989694 0.00996697],4,1,3
12,"[ 0.00419951  0.0039704   0.00297183 ... -0.00583251 -0.00597396
 -0.00591109]",2,2,0
13,[0.00456034 0.00475405 0.00352393 ... 0.00545262 0.00498586 0.00432939],4,1,3
14,"[-0.00191604 -0.00163648 -0.00077194 ...  0.0055996   0.00513149
  0.00516834]",3,1,2
15,[0.00050909 0.00055503 0.00042896 ... 0.03162988 0.03432117 0.03698071],2,1,1
16,"[ 1.3914228e-03  1.2892319e-03 -5.8116624e-05 ...  3.1294812e-02
  3.0790200e-03 -1.9990850e-02]",3,2,1
17,"[-0.00084349 -0.00199141 -0.00268467 ...  0.00473631  0.0038324
  0.00137193]",4,1,3
18,"[-0.11896679 -0.11926549 -0.12033892 ... -0.11711661 -0.11750283
 -0.11776388]",2,1,1
19,"[ 0.00061227  0.00106912  0.00098564 ... -0.00517167 -0.00453681
 -0.00364705]",2,1,1
20,"[-0.00015036 -0.00018432 -0.00020667 ... -0.00661596 -0.0061485
 -0.00686948]",3,1,2
21,"[-0.00086964 -0.00051867  0.00019227 ... -0.02528805 -0.01994205
 -0.02018012]",2,2,0
22,"[ 0.082707    0.06336354  0.04534926 ... -0.00060959 -0.00061943
 -0.00060596]",3,1,2
23,"[ 0.00043923  0.00052674  0.00051563 ... -0.00923156 -0.00907749
 -0.0086314 ]",4,2,2
24,"[-0.0002067  -0.00025585 -0.00024038 ... -0.11002631 -0.07598049
 -0.036847  ]",2,1,1
25,"[ 1.3914228e-03  1.2892319e-03 -5.8116624e-05 ... -2.2493497e-05
  3.4179221e-04  6.8244489e-04]",2,0,2
26,"[-3.7919683e-04 -1.0610053e-04  7.9435973e-05 ... -8.2009830e-02
 -8.0072939e-02 -8.6316340e-02]",4,2,2
27,[0.01708919 0.01925017 0.01618397 ... 0.01335526 0.0129825  0.0125798 ],3,1,2
28,"[-0.00025674 -0.00020482 -0.00028482 ...  0.00108195  0.00098743
  0.00089198]",3,1,2
29,"[-0.00423763 -0.00494087 -0.00430649 ...  0.00089301 -0.00366737
 -0.00105514]",2,2,0
30,"[-0.00646385 -0.0026665   0.0007683  ...  0.00095169  0.00240177
  0.003436  ]",3,2,1
31,"[ 0.0005128  -0.0090387  -0.01102749 ...  0.03061222  0.03532777
  0.04108002]",4,2,2
32,"[-0.00132293 -0.00135322 -0.00139313 ...  0.00013738  0.000356
  0.00041063]",3,2,1
